client_id,job_type,location,age,income,expenses,debt,seniority_months,payment_consistency,loan_amount,employment_type,mobile_payment_ratio,ledger_quality_score,outcome,outcome_label,risk_score,risk_narrative,is_fraud,timestamp
TND-00068,Tailor,Sousse,59,1272.28,843.09,637.81,1,0.409,1955.68,informal,0.263,0.467,0,Late Payer,0.47,Acceptable risk profile for informal Tailor. Limited savings buffer ($429/month) may cause occasional late payments.,0,2026-01-08T17:23:46.805561
TND-00069,Plumber,Ariana,24,2820.96,2008.72,1887.81,9,0.433,5793.9,informal,0.369,0.454,0,Defaulter,0.379,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-10-12T17:23:46.805574
TND-00070,Mechanic,Tunis,24,2057.34,1462.54,1289.16,31,0.461,3735.06,informal,0.365,0.834,1,Good Payer,0.459,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-05-23T17:23:46.805587
TND-00071,Artisan,Ariana,50,2718.31,2075.92,2935.49,65,0.455,7000.13,informal,0.63,0.62,0,Defaulter,0.439,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2025-02-11T17:23:46.805599
TND-00072,Taxi Driver,Bizerte,47,1661.65,1393.12,1282.1,94,0.344,2847.09,informal,0.396,0.762,0,Defaulter,0.344,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-09-13T17:23:46.805613
TND-00073,Artisan,Tunis,58,2665.0,2042.28,4116.89,72,0.415,10449.46,informal,0.256,0.757,0,Defaulter,0.358,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-10-10T17:23:46.805626
TND-00074,Electrician,Gabes,30,2826.15,1955.38,2606.04,85,0.543,10210.55,informal,0.345,1.0,0,Late Payer,0.584,Acceptable risk profile for informal Electrician. Limited savings buffer ($871/month) may cause occasional late payments.,0,2025-12-26T17:23:46.805639
TND-00075,Plumber,Ariana,65,2580.07,1640.44,281.12,98,0.741,10138.44,informal,0.327,0.736,0,Late Payer,0.588,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-11-21T17:23:46.805652
TND-00076,Taxi Driver,Ben Arous,31,1965.6,1221.11,126.25,48,0.793,6260.28,informal,0.767,0.804,1,Good Payer,0.639,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-05-13T17:23:46.805664
TND-00077,Taxi Driver,Bizerte,38,2288.05,1760.93,1959.54,28,0.317,5693.03,informal,0.508,0.612,0,Defaulter,0.307,High debt-to-income ratio (85.6%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2025-06-29T17:23:46.805677
TND-00078,Street Food Vendor,Gabes,29,905.45,583.04,654.24,33,0.525,3244.58,informal,0.283,0.856,0,Late Payer,0.529,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2025-12-12T17:23:46.805689
TND-00079,Private Tutor,Tunis,50,1430.51,1112.04,166.56,118,0.606,3307.22,mixed,0.518,0.982,1,Good Payer,0.765,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2024-02-18T17:23:46.805702
TND-00080,Tailor,Sfax,48,1332.02,931.0,378.26,109,0.642,2557.91,informal,0.537,0.934,1,Good Payer,0.652,Steady cash flow verified via handwritten ledger. 109 months operational history as Tailor with consistent client base.,0,2024-07-30T17:23:46.805715
TND-00081,Artisan,Gabes,43,2836.94,1775.08,407.21,45,0.615,9639.58,informal,0.601,0.586,1,Good Payer,0.473,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-06-26T17:23:46.805728
TND-00082,Electrician,Nabeul,64,3374.6,2843.92,1300.21,119,0.573,10388.58,informal,0.603,0.859,1,Good Payer,0.66,Steady cash flow verified via handwritten ledger. 119 months operational history as Electrician with consistent client base.,0,2025-01-29T17:23:46.805743
TND-00084,Mechanic,Gabes,41,2615.55,2099.61,4372.21,78,0.339,8148.27,informal,0.794,0.82,0,Defaulter,0.167,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2024-11-01T17:23:46.805780
TND-00085,Artisan,Sousse,44,1774.8,1088.11,797.66,48,0.624,5137.88,informal,0.666,0.859,1,Good Payer,0.525,Moderate documentation quality (score: 0.86). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-02-17T17:23:46.805793
TND-00086,Carpenter,Sousse,43,2733.5,2281.11,938.08,40,0.627,9657.35,informal,0.459,0.798,0,Late Payer,0.581,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-08-22T17:23:46.805806
TND-00087,Tailor,Tunis,44,1247.17,808.17,394.24,40,0.624,4328.04,informal,0.426,0.883,0,Late Payer,0.584,Acceptable risk profile for informal Tailor. Limited savings buffer ($439/month) may cause occasional late payments.,0,2024-05-02T17:23:46.805819
TND-00088,Plumber,Bizerte,30,1707.37,1095.08,709.25,21,0.703,3574.95,informal,0.771,0.857,1,Good Payer,0.55,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2025-05-30T17:23:46.805831
TND-00089,Artisan,Gabes,40,2666.0,1979.78,2202.36,104,0.547,7350.87,informal,0.361,0.999,0,Defaulter,0.448,Unverifiable income sources for Artisan. Poor ledger quality (score: 1.00). Multiple inconsistencies in documentation.,0,2025-07-04T17:23:46.805844
TND-00090,Electrician,Sousse,37,2483.38,1931.7,379.52,7,0.585,4720.36,informal,0.478,0.885,0,Late Payer,0.54,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2025-10-23T17:23:46.805859
TND-00091,Freelance Designer,Nabeul,43,2413.5,1681.1,258.9,120,0.677,4218.09,mixed,0.462,0.887,1,Good Payer,0.774,Established Freelance Designer with 120 months seniority. Ledger quality score 0.89 shows organized financial management. Low debt-to-income ratio.,0,2025-08-28T17:23:46.805872
TND-00092,Plumber,Tunis,39,3232.44,2301.98,88.23,118,0.691,11596.09,informal,0.332,1.0,1,Good Payer,0.756,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2025-10-03T17:23:46.805887
TND-00093,Street Food Vendor,Gabes,40,584.53,359.9,515.66,16,0.508,1800.3,informal,0.618,0.751,0,Defaulter,0.395,Unverifiable income sources for Street Food Vendor. Poor ledger quality (score: 0.75). Multiple inconsistencies in documentation.,0,2025-04-01T17:23:46.805900
TND-00094,Private Tutor,Tunis,60,1539.63,1125.27,1479.32,46,0.426,5336.42,mixed,0.278,0.849,0,Defaulter,0.338,High debt-to-income ratio (96.1%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-12-21T17:23:46.805912
TND-00095,Taxi Driver,Tunis,61,2131.5,1462.64,2214.7,50,0.483,7114.88,informal,0.198,0.919,0,Defaulter,0.315,High debt-to-income ratio (103.9%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2025-01-29T17:23:46.805924
TND-00096,Artisan,Ben Arous,62,2734.1,1765.05,1143.19,23,0.706,4353.95,informal,0.619,0.697,0,Late Payer,0.463,Seasonal income fluctuations typical for Artisan sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2025-03-07T17:23:46.805936
TND-00098,Plumber,Nabeul,65,2472.53,1932.95,704.58,64,0.698,7080.56,informal,0.398,0.961,0,Late Payer,0.563,Acceptable risk profile for informal Plumber. Limited savings buffer ($540/month) may cause occasional late payments.,0,2024-03-19T17:23:46.805963
TND-00099,Street Food Vendor,Ariana,49,1240.2,969.47,1494.48,78,0.384,3842.97,informal,0.455,0.819,0,Defaulter,0.412,High debt-to-income ratio (120.5%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2025-11-09T17:23:46.805975
TND-00100,Mechanic,Bizerte,44,3048.52,2345.91,424.51,66,0.621,9489.78,informal,0.255,0.989,0,Late Payer,0.591,Moderate documentation quality (score: 0.99). Income verifiable but irregular. Payment history shows delays during low season.,0,2024-02-29T17:23:46.805988
TND-00101,Taxi Driver,Ben Arous,44,1431.79,1091.58,129.87,57,0.716,3933.99,informal,0.53,0.742,0,Late Payer,0.613,Acceptable risk profile for informal Taxi Driver. Limited savings buffer ($340/month) may cause occasional late payments.,0,2025-05-03T17:23:46.806001
TND-00102,Delivery Driver,Nabeul,34,1318.53,835.86,102.45,79,0.793,5265.11,informal,0.881,0.698,1,Good Payer,0.81,Established Delivery Driver with 79 months seniority. Ledger quality score 0.70 shows organized financial management. Low debt-to-income ratio.,0,2024-03-12T17:23:46.806016
TND-00103,Tailor,Sfax,56,1671.42,1390.34,1830.37,70,0.416,3014.24,informal,0.611,0.931,0,Defaulter,0.241,Unverifiable income sources for Tailor. Poor ledger quality (score: 0.93). Multiple inconsistencies in documentation.,0,2025-05-27T17:23:46.806028
TND-00104,Taxi Driver,Tunis,44,2814.55,2119.32,410.88,71,0.794,9280.06,informal,0.682,0.853,1,Good Payer,0.693,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2024-06-15T17:23:46.806041
TND-00105,Carpenter,Sousse,41,1549.05,1269.43,1680.15,83,0.328,6065.57,informal,0.635,0.78,0,Defaulter,0.278,High debt-to-income ratio (108.5%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2025-09-19T17:23:46.806053
TND-00106,Artisan,Sousse,40,1343.84,1122.41,2264.37,22,0.308,4149.3,informal,0.659,0.628,0,Defaulter,0.237,Unverifiable income sources for Artisan. Poor ledger quality (score: 0.63). Multiple inconsistencies in documentation.,0,2024-04-24T17:23:46.806064
TND-00107,Street Food Vendor,Sfax,53,904.4,683.83,611.73,83,0.568,1449.74,informal,0.501,0.693,0,Late Payer,0.576,Seasonal income fluctuations typical for Street Food Vendor sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2024-04-08T17:23:46.806077
TND-00108,Electrician,Ariana,62,2526.49,1912.02,2148.78,27,0.429,8872.32,informal,0.469,0.717,0,Defaulter,0.386,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-10-17T17:23:46.806089
TND-00109,Carpenter,Tunis,31,2290.61,1553.37,2687.28,57,0.51,9021.43,informal,0.403,0.846,0,Defaulter,0.264,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-08-15T17:23:46.806100
